,Country,variable,value
0,Albania,1960,1608800
1,Andorra,1960,13410
2,Armenia,1960,1874119
3,Australia,1960,10276477
4,Austria,1960,7047539
5,Azerbaijan,1960,3895398
6,Belarus,1960,8198000
7,Belgium,1960,9153489
8,Bosnia and Herzegovina,1960,3225664
9,Bulgaria,1960,7867374
10,Croatia,1960,4140181
11,Cyprus,1960,572933
12,Czech Republic,1960,9602006
13,Denmark,1960,4579603
14,Estonia,1960,1211537
15,Finland,1960,4429634
16,France,1960,46621688
17,Georgia,1960,3645600
18,Germany,1960,72814900
19,Greece,1960,8331725
20,Hungary,1960,9983967
21,Iceland,1960,175574
22,Ireland,1960,2828600
23,Israel,1960,2114020
24,Italy,1960,50199700
25,Latvia,1960,2120979
26,Lithuania,1960,2778550
27,Luxembourg,1960,313970
28,Malta,1960,326550
29,Moldova,1960,2043664
30,Monaco,1960,22461
31,Montenegro,1960,480579
32,Morocco,1960,12328532
33,Netherlands,1960,11486631
34,North Macedonia,1960,1488670
35,Norway,1960,3581239
36,Poland,1960,29637450
37,Portugal,1960,8857716
38,Romania,1960,18406905
39,Russian Federation,1960,119897000
40,San Marino,1960,15440
41,Serbia,1960,6608000
42,Slovak Republic,1960,4068095
43,Slovenia,1960,1584720
44,Spain,1960,30455000
45,Sweden,1960,7484656
46,Switzerland,1960,5327827
47,Turkey,1960,27472339
48,Ukraine,1960,42664646
49,United Kingdom,1960,52400000
50,Albania,1961,1659800
51,Andorra,1961,14378
52,Armenia,1961,1941498
53,Australia,1961,10483000
54,Austria,1961,7086299
55,Azerbaijan,1961,4030325
56,Belarus,1961,8271216
57,Belgium,1961,9183948
58,Bosnia and Herzegovina,1961,3288604
59,Bulgaria,1961,7943118
60,Croatia,1961,4167292
61,Cyprus,1961,576402
62,Czech Republic,1961,9586651
63,Denmark,1961,4611687
64,Estonia,1961,1225077
65,Finland,1961,4461005
66,France,1961,47240526
67,Georgia,1961,3703600
68,Germany,1961,73377632
69,Greece,1961,8398050
70,Hungary,1961,10029321
71,Iceland,1961,179029
72,Ireland,1961,2824400
73,Israel,1961,2185000
74,Italy,1961,50536350
75,Latvia,1961,2152681
76,Lithuania,1961,2823550
77,Luxembourg,1961,316845
78,Malta,1961,325250
79,Moldova,1961,2092667
80,Monaco,1961,22813
81,Montenegro,1961,491140
82,Morocco,1961,12710587
83,Netherlands,1961,11638712
84,North Macedonia,1961,1507647
85,Norway,1961,3609800
86,Poland,1961,29964000
87,Portugal,1961,8929316
88,Romania,1961,18555250
89,Russian Federation,1961,121236000
90,San Marino,1961,15836
91,Serbia,1961,6655000
92,Slovak Republic,1961,4191667
93,Slovenia,1961,1594131
94,Spain,1961,30739250
95,Sweden,1961,7519998
96,Switzerland,1961,5434294
97,Turkey,1961,28146909
98,Ukraine,1961,43206353
99,United Kingdom,1961,52800000
100,Albania,1962,1711319
101,Andorra,1962,15379
102,Armenia,1962,2009524
103,Australia,1962,10742000
104,Austria,1962,7129864
105,Azerbaijan,1962,4171428
106,Belarus,1962,8351928
107,Belgium,1962,9220578
108,Bosnia and Herzegovina,1962,3353228
109,Bulgaria,1962,8012946
110,Croatia,1962,4196712
111,Cyprus,1962,577696
112,Czech Republic,1962,9624660
113,Denmark,1962,4647727
114,Estonia,1962,1241623
115,Finland,1962,4491443
116,France,1962,47904879
117,Georgia,1962,3760300
118,Germany,1962,74025784
119,Greece,1962,8448233
120,Hungary,1962,10061734
121,Iceland,1962,182378
122,Ireland,1962,2836050
123,Israel,1962,2293000
124,Italy,1962,50879450
125,Latvia,1962,2181586
126,Lithuania,1962,2863350
127,Luxembourg,1962,320750
128,Malta,1962,323900
129,Moldova,1962,2140063
130,Monaco,1962,23043
131,Montenegro,1962,502558
132,Morocco,1962,13094890
133,Netherlands,1962,11805689
134,North Macedonia,1962,1527109
135,Norway,1962,3638918
136,Poland,1962,30308500
137,Portugal,1962,8993985
138,Romania,1962,18676550
139,Russian Federation,1962,122591000
140,San Marino,1962,16255
141,Serbia,1962,6696000
142,Slovak Republic,1962,4238188
143,Slovenia,1962,1603649
144,Spain,1962,31023366
145,Sweden,1962,7561588
146,Switzerland,1962,5573815
147,Turkey,1962,28832831
148,Ukraine,1962,43752227
149,United Kingdom,1962,53250000
150,Albania,1963,1762621
151,Andorra,1963,16407
152,Armenia,1963,2077584
153,Australia,1963,10950000
154,Austria,1963,7175811
155,Azerbaijan,1963,4315127
156,Belarus,1963,8437232
157,Belgium,1963,9289770
158,Bosnia and Herzegovina,1963,3417573
159,Bulgaria,1963,8078145
160,Croatia,1963,4225675
161,Cyprus,1963,577918
162,Czech Republic,1963,9670685
163,Denmark,1963,4684483
164,Estonia,1963,1258857
165,Finland,1963,4523309
166,France,1963,48582624
167,Georgia,1963,3816100
168,Germany,1963,74714353
169,Greece,1963,8479625
170,Hungary,1963,10087947
171,Iceland,1963,185653
172,Ireland,1963,2852650
173,Israel,1963,2379000
174,Italy,1963,51252000
175,Latvia,1963,2210919
176,Lithuania,1963,2898950
177,Luxembourg,1963,324100
178,Malta,1963,322550
179,Moldova,1963,2185050
180,Monaco,1963,23165
181,Montenegro,1963,513409
182,Morocco,1963,13478425
183,Netherlands,1963,11965966
184,North Macedonia,1963,1547449
185,Norway,1963,3666537
186,Poland,1963,30712000
187,Portugal,1963,9030355
188,Romania,1963,18797850
189,Russian Federation,1963,123960000
190,San Marino,1963,16669
191,Serbia,1963,6732000
192,Slovak Republic,1963,4282017
193,Slovenia,1963,1616971
194,Spain,1963,31296651
195,Sweden,1963,7604328
196,Switzerland,1963,5694247
197,Turkey,1963,29531362
198,Ukraine,1963,44288607
199,United Kingdom,1963,53650000
200,Albania,1964,1814135
201,Andorra,1964,17466
202,Armenia,1964,2145004
203,Australia,1964,11167000
204,Austria,1964,7223801
205,Azerbaijan,1964,4456691
206,Belarus,1964,8524224
207,Belgium,1964,9378113
208,Bosnia and Herzegovina,1964,3478999
209,Bulgaria,1964,8144340
210,Croatia,1964,4252876
211,Cyprus,1964,578628
212,Czech Republic,1964,9727804
213,Denmark,1964,4722072
214,Estonia,1964,1277086
215,Finland,1964,4548543
216,France,1964,49230585
217,Georgia,1964,3870300
218,Germany,1964,75318337
219,Greece,1964,8510429
220,Hungary,1964,10119835
221,Iceland,1964,188983
222,Ireland,1964,2866550
223,Israel,1964,2475000
224,Italy,1964,51675350
225,Latvia,1964,2240623
226,Lithuania,1964,2935200
227,Luxembourg,1964,327750
228,Malta,1964,321250
229,Moldova,1964,2228429
230,Monaco,1964,23236
231,Montenegro,1964,521753
232,Morocco,1964,13857656
233,Netherlands,1964,12127120
234,North Macedonia,1964,1569139
235,Norway,1964,3694339
236,Poland,1964,31139450
237,Portugal,1964,9035365
238,Romania,1964,18919126
239,Russian Federation,1964,125345000
240,San Marino,1964,17101
241,Serbia,1964,6765000
242,Slovak Republic,1964,4327341
243,Slovenia,1964,1632114
244,Spain,1964,31609195
245,Sweden,1964,7661354
246,Switzerland,1964,5789228
247,Turkey,1964,30244258
248,Ukraine,1964,44796959
249,United Kingdom,1964,54000000
250,Albania,1965,1864791
251,Andorra,1965,18542
252,Armenia,1965,2211316
253,Australia,1965,11388000
254,Austria,1965,7270889
255,Azerbaijan,1965,4592601
256,Belarus,1965,8610000
257,Belgium,1965,9463667
258,Bosnia and Herzegovina,1965,3535632
259,Bulgaria,1965,8204168
260,Croatia,1965,4280923
261,Cyprus,1965,580972
262,Czech Republic,1965,9779358
263,Denmark,1965,4759012
264,Estonia,1965,1294566
265,Finland,1965,4563732
266,France,1965,49818019
267,Georgia,1965,3921600
268,Germany,1965,75963695
269,Greece,1965,8550333
270,Hungary,1965,10147935
271,Iceland,1965,192286
272,Ireland,1965,2877300
273,Israel,1965,2563000
274,Italy,1965,52112350
275,Latvia,1965,2265919
276,Lithuania,1965,2971450
277,Luxembourg,1965,331500
278,Malta,1965,318800
279,Moldova,1965,2269399
280,Monaco,1965,23289
281,Montenegro,1965,526327
282,Morocco,1965,14230163
283,Netherlands,1965,12294732
284,North Macedonia,1965,1592437
285,Norway,1965,3723168
286,Poland,1965,31444950
287,Portugal,1965,8998595
288,Romania,1965,19031576
289,Russian Federation,1965,126745000
290,San Marino,1965,17508
291,Serbia,1965,6794000
292,Slovak Republic,1965,4370983
293,Slovenia,1965,1649160
294,Spain,1965,31954292
295,Sweden,1965,7733853
296,Switzerland,1965,5856472
297,Turkey,1965,30972996
298,Ukraine,1965,45264552
299,United Kingdom,1965,54348050
300,Albania,1966,1914573
301,Andorra,1966,19646
302,Armenia,1966,2276038
303,Australia,1966,11651000
304,Austria,1966,7322066
305,Azerbaijan,1966,4721528
306,Belarus,1966,8696496
307,Belgium,1966,9527807
308,Bosnia and Herzegovina,1966,3586630
309,Bulgaria,1966,8258057
310,Croatia,1966,4310701
311,Cyprus,1966,585313
312,Czech Republic,1966,9821040
313,Denmark,1966,4797381
314,Estonia,1966,1308597
315,Finland,1966,4580869
316,France,1966,50330268
317,Georgia,1966,3966700
318,Germany,1966,76600311
319,Greece,1966,8613651
320,Hungary,1966,10178653
321,Iceland,1966,195570
322,Ireland,1966,2888800
323,Israel,1966,2629000
324,Italy,1966,52519000
325,Latvia,1966,2283217
326,Lithuania,1966,3008050
327,Luxembourg,1966,333895
328,Malta,1966,315200
329,Moldova,1966,2307959
330,Monaco,1966,23302
331,Montenegro,1966,526419
332,Morocco,1966,14595351
333,Netherlands,1966,12456251
334,North Macedonia,1966,1617797
335,Norway,1966,3753012
336,Poland,1966,31681000
337,Portugal,1966,8930990
338,Romania,1966,19215450
339,Russian Federation,1966,127468000
340,San Marino,1966,17919
341,Serbia,1966,6841000
342,Slovak Republic,1966,4411666
343,Slovenia,1966,1669905
344,Spain,1966,32283194
345,Sweden,1966,7807797
346,Switzerland,1966,5918002
347,Turkey,1966,31717504
348,Ukraine,1966,45684983
349,United Kingdom,1966,54648500
350,Albania,1967,1965598
351,Andorra,1967,20760
352,Armenia,1967,2339133
353,Australia,1967,11799000
354,Austria,1967,7376998
355,Azerbaijan,1967,4843872
356,Belarus,1967,8785648
357,Belgium,1967,9580991
358,Bosnia and Herzegovina,1967,3632678
359,Bulgaria,1967,8310226
360,Croatia,1967,4338683
361,Cyprus,1967,591301
362,Czech Republic,1967,9852899
363,Denmark,1967,4835354
364,Estonia,1967,1318946
365,Finland,1967,4605744
366,France,1967,50775788
367,Georgia,1967,4005800
368,Germany,1967,76951336
369,Greece,1967,8684088
370,Hungary,1967,10216604
371,Iceland,1967,198751
372,Ireland,1967,2902450
373,Israel,1967,2745000
374,Italy,1967,52900500
375,Latvia,1967,2301220
376,Lithuania,1967,3044400
377,Luxembourg,1967,334995
378,Malta,1967,311550
379,Moldova,1967,2344108
380,Monaco,1967,23292
381,Montenegro,1967,522796
382,Morocco,1967,14954037
383,Netherlands,1967,12598201
384,North Macedonia,1967,1644949
385,Norway,1967,3784539
386,Poland,1967,31987155
387,Portugal,1967,8874520
388,Romania,1967,19534242
389,Russian Federation,1967,128196000
390,San Marino,1967,18309
391,Serbia,1967,6880000
392,Slovak Republic,1967,4449367
393,Slovenia,1967,1689528
394,Spain,1967,32682947
395,Sweden,1967,7867931
396,Switzerland,1967,5991785
397,Turkey,1967,32477994
398,Ukraine,1967,46063219
399,United Kingdom,1967,54943600
400,Albania,1968,2022272
401,Andorra,1968,21886
402,Armenia,1968,2401142
403,Australia,1968,12009000
404,Austria,1968,7415403
405,Azerbaijan,1968,4960237
406,Belarus,1968,8874552
407,Belgium,1968,9618756
408,Bosnia and Herzegovina,1968,3675448
409,Bulgaria,1968,8369603
410,Croatia,1968,4365628
411,Cyprus,1968,598495
412,Czech Republic,1968,9876346
413,Denmark,1968,4864883
414,Estonia,1968,1331214
415,Finland,1968,4626469
416,France,1968,51175507
417,Georgia,1968,4042300
418,Germany,1968,77294314
419,Greece,1968,8740765
420,Hungary,1968,10255815
421,Iceland,1968,201488
422,Ireland,1968,2915550
423,Israel,1968,2803000
424,Italy,1968,53235750
425,Latvia,1968,2323619
426,Lithuania,1968,3078850
427,Luxembourg,1968,335850
428,Malta,1968,307900
429,Moldova,1968,2377848
430,Monaco,1968,23295
431,Montenegro,1968,517481
432,Morocco,1968,15307267
433,Netherlands,1968,12729721
434,North Macedonia,1968,1672399
435,Norway,1968,3816486
436,Poland,1968,32294655
437,Portugal,1968,8836650
438,Romania,1968,19799831
439,Russian Federation,1968,128928000
440,San Marino,1968,18668
441,Serbia,1968,6915000
442,Slovak Republic,1968,4483915
443,Slovenia,1968,1704546
444,Spain,1968,33113134
445,Sweden,1968,7912273
446,Switzerland,1968,6067714
447,Turkey,1968,33256465
448,Ukraine,1968,46411816
449,United Kingdom,1968,55211700
450,Albania,1969,2081695
451,Andorra,1969,23053
452,Armenia,1969,2462938
453,Australia,1969,12263000
454,Austria,1969,7441055
455,Azerbaijan,1969,5071930
456,Belarus,1969,8960304
457,Belgium,1969,9646032
458,Bosnia and Herzegovina,1969,3717476
459,Bulgaria,1969,8434172
460,Croatia,1969,4391490
461,Cyprus,1969,606121
462,Czech Republic,1969,9896580
463,Denmark,1969,4891860
464,Estonia,1969,1345249
465,Finland,1969,4623785
466,France,1969,51561833
467,Georgia,1969,4080300
468,Germany,1969,77909682
469,Greece,1969,8772764
470,Hungary,1969,10298723
471,Iceland,1969,203369
472,Ireland,1969,2932650
473,Israel,1969,2877000
474,Italy,1969,53537950
475,Latvia,1969,2343173
476,Lithuania,1969,3107321
477,Luxembourg,1969,337500
478,Malta,1969,304300
479,Moldova,1969,2411588
480,Monaco,1969,23348
481,Montenegro,1969,513340
482,Morocco,1969,15656846
483,Netherlands,1969,12877984
484,North Macedonia,1969,1698150
485,Norway,1969,3847707
486,Poland,1969,32548300
487,Portugal,1969,8757705
488,Romania,1969,20009141
489,Russian Federation,1969,129664000
490,San Marino,1969,18980
491,Serbia,1969,6945000
492,Slovak Republic,1969,4518607
493,Slovenia,1969,1713874
494,Spain,1969,33441054
495,Sweden,1969,7968072
496,Switzerland,1969,6136387
497,Turkey,1969,34055391
498,Ukraine,1969,46749289
499,United Kingdom,1969,55441750
500,Albania,1970,2135479
501,Andorra,1970,24275
502,Armenia,1970,2525067
503,Australia,1970,12507000
504,Austria,1970,7467086
505,Azerbaijan,1970,5180032
506,Belarus,1970,9040000
507,Belgium,1970,9655549
508,Bosnia and Herzegovina,1970,3760536
509,Bulgaria,1970,8489574
510,Croatia,1970,4412252
511,Cyprus,1970,613618
512,Czech Republic,1970,9858071
513,Denmark,1970,4928757
514,Estonia,1970,1360076
515,Finland,1970,4606307
516,France,1970,51957747
517,Georgia,1970,4119900
518,Germany,1970,78169289
519,Greece,1970,8792806
520,Hungary,1970,10337910
521,Iceland,1970,204438
522,Ireland,1970,2957250
523,Israel,1970,2974000
524,Italy,1970,53821850
525,Latvia,1970,2359164
526,Lithuania,1970,3139689
527,Luxembourg,1970,339171
528,Malta,1970,302650
529,Moldova,1970,2445328
530,Monaco,1970,23487
531,Montenegro,1970,512407
532,Morocco,1970,16004732
533,Netherlands,1970,13038526
534,North Macedonia,1970,1720805
535,Norway,1970,3875763
536,Poland,1970,32664300
537,Portugal,1970,8680431
538,Romania,1970,20250398
539,Russian Federation,1970,130404000
540,San Marino,1970,19224
541,Serbia,1970,6972000
542,Slovak Republic,1970,4538223
543,Slovenia,1970,1724891
544,Spain,1970,33814531
545,Sweden,1970,8042801
546,Switzerland,1970,6180877
547,Turkey,1970,34876296
548,Ukraine,1970,47088862
549,United Kingdom,1970,55663250
550,Albania,1971,2187853
551,Andorra,1971,25571
552,Armenia,1971,2587716
553,Australia,1971,12937000
554,Austria,1971,7500482
555,Azerbaijan,1971,5284518
556,Belarus,1971,9115576
557,Belgium,1971,9673162
558,Bosnia and Herzegovina,1971,3805286
559,Bulgaria,1971,8536395
560,Croatia,1971,4431275
561,Cyprus,1971,620860
562,Czech Republic,1971,9826815
563,Denmark,1971,4963126
564,Estonia,1971,1376955
565,Finland,1971,4612124
566,France,1971,52371320
567,Georgia,1971,4163000
568,Germany,1971,78312842
569,Greece,1971,8831036
570,Hungary,1971,10367537
571,Iceland,1971,206098
572,Ireland,1971,2992050
573,Israel,1971,3069000
574,Italy,1971,54073490
575,Latvia,1971,2376389
576,Lithuania,1971,3179041
577,Luxembourg,1971,342421
578,Malta,1971,302700
579,Moldova,1971,2479871
580,Monaco,1971,23721
581,Montenegro,1971,515449
582,Morocco,1971,16350883
583,Netherlands,1971,13194497
584,North Macedonia,1971,1739529
585,Norway,1971,3903039
586,Poland,1971,32783500
587,Portugal,1971,8643756
588,Romania,1971,20461567
589,Russian Federation,1971,131155000
590,San Marino,1971,19393
591,Serbia,1971,7013000
592,Slovak Republic,1971,4557449
593,Slovenia,1971,1738335
594,Spain,1971,34224490
595,Sweden,1971,8098334
596,Switzerland,1971,6213399
597,Turkey,1971,35720603
598,Ukraine,1971,47435008
599,United Kingdom,1971,55896223
600,Albania,1972,2243126
601,Andorra,1972,26885
602,Armenia,1972,2650484
603,Australia,1972,13177000
604,Austria,1972,7544201
605,Azerbaijan,1972,5385266
606,Belarus,1972,9188968
607,Belgium,1972,9711115
608,Bosnia and Herzegovina,1972,3851153
609,Bulgaria,1972,8576200
610,Croatia,1972,4450564
611,Cyprus,1972,628002
612,Czech Republic,1972,9867632
613,Denmark,1972,4991596
614,Estonia,1972,1392518
615,Finland,1972,4639657
616,France,1972,52793151
617,Georgia,1972,4205300
618,Germany,1972,78688452
619,Greece,1972,8888628
620,Hungary,1972,10398489
621,Iceland,1972,209137
622,Ireland,1972,3036850
623,Israel,1972,3148000
624,Italy,1972,54381345
625,Latvia,1972,2395674
626,Lithuania,1972,3213622
627,Luxembourg,1972,346600
628,Malta,1972,302450
629,Moldova,1972,2515217
630,Monaco,1972,24049
631,Montenegro,1972,521785
632,Morocco,1972,16696890
633,Netherlands,1972,13328593
634,North Macedonia,1972,1754951
635,Norway,1972,3933004
636,Poland,1972,33055650
637,Portugal,1972,8630430
638,Romania,1972,20657957
639,Russian Federation,1972,131909000
640,San Marino,1972,19490
641,Serbia,1972,7053000
642,Slovak Republic,1972,4596622
643,Slovenia,1972,1752233
644,Spain,1972,34604469
645,Sweden,1972,8122300
646,Switzerland,1972,6260956
647,Turkey,1972,36587267
648,Ukraine,1972,47783006
649,United Kingdom,1972,56086065
650,Albania,1973,2296752
651,Andorra,1973,28232
652,Armenia,1973,2712780
653,Australia,1973,13380000
654,Austria,1973,7586115
655,Azerbaijan,1973,5483088
656,Belarus,1973,9257272
657,Belgium,1973,9741720
658,Bosnia and Herzegovina,1973,3897259
659,Bulgaria,1973,8620967
660,Croatia,1973,4470161
661,Cyprus,1973,635105
662,Czech Republic,1973,9922266
663,Denmark,1973,5021861
664,Estonia,1973,1405951
665,Finland,1973,4666081
666,France,1973,53207744
667,Georgia,1973,4242500
668,Germany,1973,78936666
669,Greece,1973,8929086
670,Hungary,1973,10432055
671,Iceland,1973,212317
672,Ireland,1973,3085950
673,Israel,1973,3278000
674,Italy,1973,54751406
675,Latvia,1973,2415819
676,Lithuania,1973,3244438
677,Luxembourg,1973,350450
678,Malta,1973,302200
679,Moldova,1973,2549760
680,Monaco,1973,24445
681,Montenegro,1973,530220
682,Morocco,1973,17048525
683,Netherlands,1973,13439322
684,North Macedonia,1973,1769002
685,Norway,1973,3960612
686,Poland,1973,33357200
687,Portugal,1973,8633100
688,Romania,1973,20835681
689,Russian Federation,1973,132669000
690,San Marino,1973,19561
691,Serbia,1973,7091000
692,Slovak Republic,1973,4641445
693,Slovenia,1973,1766697
694,Spain,1973,34988947
695,Sweden,1973,8136312
696,Switzerland,1973,6307347
697,Turkey,1973,37472329
698,Ukraine,1973,48125829
699,United Kingdom,1973,56194527
700,Albania,1974,2350124
701,Andorra,1974,29515
702,Armenia,1974,2773750
703,Australia,1974,13723000
704,Austria,1974,7599038
705,Azerbaijan,1974,5579071
706,Belarus,1974,9317584
707,Belgium,1974,9772419
708,Bosnia and Herzegovina,1974,3942221
709,Bulgaria,1974,8678745
710,Croatia,1974,4490660
711,Cyprus,1974,642322
712,Czech Republic,1974,9988459
713,Denmark,1974,5045297
714,Estonia,1974,1418169
715,Finland,1974,4690574
716,France,1974,53592235
717,Georgia,1974,4279500
718,Germany,1974,78967433
719,Greece,1974,8962022
720,Hungary,1974,10478720
721,Iceland,1974,215209
722,Ireland,1974,3137500
723,Israel,1974,3377000
724,Italy,1974,55110868
725,Latvia,1974,2437186
726,Lithuania,1974,3273894
727,Luxembourg,1974,355050
728,Malta,1974,301996
729,Moldova,1974,2582697
730,Monaco,1974,24829
731,Montenegro,1974,538902
732,Morocco,1974,17413149
733,Netherlands,1974,13545056
734,North Macedonia,1974,1784400
735,Norway,1974,3985258
736,Poland,1974,33678899
737,Portugal,1974,8754365
738,Romania,1974,21029429
739,Russian Federation,1974,133432000
740,San Marino,1974,19661
741,Serbia,1974,7128000
742,Slovak Republic,1974,4689623
743,Slovenia,1974,1776132
744,Spain,1974,35373335
745,Sweden,1974,8159955
746,Switzerland,1974,6341405
747,Turkey,1974,38370278
748,Ukraine,1974,48452623
749,United Kingdom,1974,56229974
750,Albania,1975,2404831
751,Andorra,1975,30705
752,Armenia,1975,2832752
753,Australia,1975,13893000
754,Austria,1975,7578903
755,Azerbaijan,1975,5674129
756,Belarus,1975,9367000
757,Belgium,1975,9800700
758,Bosnia and Herzegovina,1975,3985107
759,Bulgaria,1975,8720742
760,Croatia,1975,4512082
761,Cyprus,1975,649753
762,Czech Republic,1975,10058620
763,Denmark,1975,5059862
764,Estonia,1975,1429352
765,Finland,1975,4711440
766,France,1975,53931390
767,Georgia,1975,4311200
768,Germany,1975,78673554
769,Greece,1975,9046541
770,Hungary,1975,10540525
771,Iceland,1975,217979
772,Ireland,1975,3189550
773,Israel,1975,3455000
774,Italy,1975,55441001
775,Latvia,1975,2456130
776,Lithuania,1975,3301652
777,Luxembourg,1975,358950
778,Malta,1975,304222
779,Moldova,1975,2611616
780,Monaco,1975,25203
781,Montenegro,1975,546487
782,Morocco,1975,17796171
783,Netherlands,1975,13666335
784,North Macedonia,1975,1803008
785,Norway,1975,4007313
786,Poland,1975,34015199
787,Portugal,1975,9093470
788,Romania,1975,21293583
789,Russian Federation,1975,134200000
790,San Marino,1975,19829
791,Serbia,1975,7163000
792,Slovak Republic,1975,4739105
793,Slovenia,1975,1793581
794,Spain,1975,35757900
795,Sweden,1975,8192437
796,Switzerland,1975,6338632
797,Turkey,1975,39277249
798,Ukraine,1975,48755662
799,United Kingdom,1975,56225800
800,Albania,1976,2458526
801,Andorra,1976,31782
802,Armenia,1976,2889583
803,Australia,1976,14033000
804,Austria,1976,7565525
805,Azerbaijan,1976,5768730
806,Belarus,1976,9411000
807,Belgium,1976,9818227
808,Bosnia and Herzegovina,1976,4025271
809,Bulgaria,1976,8758599
810,Croatia,1976,4535934
811,Cyprus,1976,657524
812,Czech Republic,1976,10125939
813,Denmark,1976,5072596
814,Estonia,1976,1439576
815,Finland,1976,4725664
816,France,1976,54220033
817,Georgia,1976,4342400
818,Germany,1976,78336950
819,Greece,1976,9188150
820,Hungary,1976,10598677
821,Iceland,1976,220154
822,Ireland,1976,3238050
823,Israel,1976,3533000
824,Italy,1976,55718260
825,Latvia,1976,2470989
826,Lithuania,1976,3328664
827,Luxembourg,1976,360731
828,Malta,1976,305774
829,Moldova,1976,2638126
830,Monaco,1976,25523
831,Montenegro,1976,552562
832,Morocco,1976,18198836
833,Netherlands,1976,13774037
834,North Macedonia,1976,1825559
835,Norway,1976,4026152
836,Poland,1976,34356300
837,Portugal,1976,9355810
838,Romania,1976,21551634
839,Russian Federation,1976,135147000
840,San Marino,1976,20086
841,Serbia,1976,7214000
842,Slovak Republic,1976,4789507
843,Slovenia,1976,1820249
844,Spain,1976,36137812
845,Sweden,1976,8222286
846,Switzerland,1976,6302504
847,Turkey,1976,40189561
848,Ukraine,1976,49032729
849,United Kingdom,1976,56211968
850,Albania,1977,2513546
851,Andorra,1977,32769
852,Armenia,1977,2944375
853,Australia,1977,14192000
854,Austria,1977,7568430
855,Azerbaijan,1977,5863138
856,Belarus,1977,9463000
857,Belgium,1977,9830358
858,Bosnia and Herzegovina,1977,4063188
859,Bulgaria,1977,8804183
860,Croatia,1977,4559571
861,Cyprus,1977,665521
862,Czech Republic,1977,10186755
863,Denmark,1977,5088419
864,Estonia,1977,1450211
865,Finland,1977,4738902
866,France,1977,54467709
867,Georgia,1977,4372100
868,Germany,1977,78159814
869,Greece,1977,9308479
870,Hungary,1977,10648031
871,Iceland,1977,221799
872,Ireland,1977,3282200
873,Israel,1977,3613000
874,Italy,1977,55955411
875,Latvia,1977,2485073
876,Lithuania,1977,3355036
877,Luxembourg,1977,361358
878,Malta,1977,306970
879,Moldova,1977,2660619
880,Monaco,1977,25811
881,Montenegro,1977,557576
882,Morocco,1977,18620087
883,Netherlands,1977,13856185
884,North Macedonia,1977,1851070
885,Norway,1977,4043205
886,Poland,1977,34689050
887,Portugal,1977,9455675
888,Romania,1977,21756096
889,Russian Federation,1977,136100000
890,San Marino,1977,20397
891,Serbia,1977,7258000
892,Slovak Republic,1977,4840501
893,Slovenia,1977,1842377
894,Spain,1977,36511638
895,Sweden,1977,8251540
896,Switzerland,1977,6281174
897,Turkey,1977,41108290
898,Ukraine,1977,49287118
899,United Kingdom,1977,56193492
900,Albania,1978,2566266
901,Andorra,1978,33744
902,Armenia,1978,2997419
903,Australia,1978,14358000
904,Austria,1978,7562305
905,Azerbaijan,1978,5957927
906,Belarus,1978,9525000
907,Belgium,1978,9839534
908,Bosnia and Herzegovina,1978,4100355
909,Bulgaria,1978,8814032
910,Croatia,1978,4581085
911,Cyprus,1978,673253
912,Czech Republic,1978,10242098
913,Denmark,1978,5104248
914,Estonia,1978,1460188
915,Finland,1978,4752528
916,France,1978,54691866
917,Georgia,1978,4397700
918,Germany,1978,78091820
919,Greece,1978,9429959
920,Hungary,1978,10684822
921,Iceland,1978,223537
922,Ireland,1978,3329100
923,Israel,1978,3690000
924,Italy,1978,56155143
925,Latvia,1978,2497921
926,Lithuania,1978,3379514
927,Luxembourg,1978,362007
928,Malta,1978,310182
929,Moldova,1978,2682309
930,Monaco,1978,26090
931,Montenegro,1978,562065
932,Morocco,1978,19059773
933,Netherlands,1978,13941700
934,North Macedonia,1978,1877690
935,Norway,1978,4058671
936,Poland,1978,34965600
937,Portugal,1978,9558250
938,Romania,1978,21951464
939,Russian Federation,1978,137060000
940,San Marino,1978,20764
941,Serbia,1978,7297000
942,Slovak Republic,1978,4890125
943,Slovenia,1978,1862548
944,Spain,1978,36864898
945,Sweden,1978,8275599
946,Switzerland,1978,6281738
947,Turkey,1978,42039983
948,Ukraine,1978,49523304
949,United Kingdom,1978,56196504
950,Albania,1979,2617832
951,Andorra,1979,34825
952,Armenia,1979,3049107
953,Australia,1979,14514000
954,Austria,1979,7549425
955,Azerbaijan,1979,6053635
956,Belarus,1979,9584000
957,Belgium,1979,9848382
958,Bosnia and Herzegovina,1979,4138816
959,Bulgaria,1979,8825940
960,Croatia,1979,4594778
961,Cyprus,1979,680010
962,Czech Republic,1979,10292341
963,Denmark,1979,5116801
964,Estonia,1979,1468333
965,Finland,1979,4764690
966,France,1979,54917110
967,Georgia,1979,4430200
968,Germany,1979,78126350
969,Greece,1979,9548258
970,Hungary,1979,10704152
971,Iceland,1979,225735
972,Ireland,1979,3373750
973,Israel,1979,3786000
974,Italy,1979,56317749
975,Latvia,1979,2505953
976,Lithuania,1979,3397842
977,Luxembourg,1979,362856
978,Malta,1979,313342
979,Moldova,1979,2703999
980,Monaco,1979,26391
981,Montenegro,1979,566888
982,Morocco,1979,19516942
983,Netherlands,1979,14038270
984,North Macedonia,1979,1902718
985,Norway,1979,4072517
986,Poland,1979,35247217
